Attacker,Victim,Attack Type,Date,Attack Start Time,Attack Finish Time,Attack Name,Attack Category
172.31.70.4(Valid IP:18.221.219.4),172.31.69.25(Valid IP:18.217.21.148),FTP-BruteForce,14-02-2018,10:32,12:09,FTP-BruteForce,Brute Force
172.31.70.6(Valid IP:13.58.98.64),18.217.21.148- 172.31.69.25,SSH-Bruteforce,14-02-2018,14:01,15:31,SSH-Bruteforce,Brute Force
172.31.70.46(Valid IP:18.219.211.138),18.217.21.148- 172.31.69.25,DoS-GoldenEye,15-02-2018,9:26,10:09,DoS-GoldenEye,DoS
172.31.70.8(Vazlid IP:18.217.165.70),18.217.21.148- 172.31.69.25,DoS-Slowloris,15-02-2018,10:59,11:40,DoS-Slowloris,DoS
172.31.70.23(Valid IP: 13.59.126.31),18.217.21.148- 172.31.69.25,DoS-SlowHTTPTest,16-02-2018,10:12,11:08,DoS-SlowHTTPTest,DoS
172.31.70.16(Valid IP:18.219.193.20),18.217.21.148- 172.31.69.25,DoS-Hulk,16-02-2018,13:45,14:19,DoS-Hulk,DoS
18.218.115.6018.219.9.118.219.32.4318.218.55.12652.14.136.13518.219.5.4318.216.200.18918.218.229.23518.218.11.5118.216.24.42,18.217.21.148- 172.31.69.25,DDoS attacks-LOIC-HTTP,20-02-2018,10:12,11:17,DDoS attacks-LOIC-HTTP,DoS
18.218.115.6018.219.9.118.219.32.4318.218.55.12652.14.136.13518.219.5.4318.216.200.18918.218.229.23518.218.11.5118.216.24.42,18.217.21.148- 172.31.69.25,DDoS-LOIC-UDP,20-02-2018,13:13,13:32,DDoS-LOIC-UDP1,DoS
18.218.115.6018.219.9.118.219.32.4318.218.55.12652.14.136.13518.219.5.4318.216.200.18918.218.229.23518.218.11.5118.216.24.42,18.218.83.150- 172.31.69.28,DDOS-LOIC-UDP,21-02-2018,10:09,10:43,DDOS-LOIC-UDP2,DoS
18.218.115.6018.219.9.118.219.32.4318.218.55.12652.14.136.13518.219.5.4318.216.200.18918.218.229.23518.218.11.5118.216.24.42,18.218.83.150- 172.31.69.28,DDOS-HOIC,21-02-2018,14:05,15:05,DDOS-HOIC,DoS
18.218.115.60,18.218.83.150- 172.31.69.28,Brute Force -Web,22-02-2018,10:17,11:24,Brute Force -Web1,Brute Force
18.218.115.60,18.218.83.150- 172.31.69.28,Brute Force -XSS,22-02-2018,13:50,14:29,Brute Force -XSS,Injection
18.218.115.60,18.218.83.150- 172.31.69.28,SQL Injection,22-02-2018,16:15,16:29,SQL Injection,Injection
18.218.115.60,18.218.83.150- 172.31.69.28,Brute Force -Web,23-02-2018,10:03,11:03,Brute Force -Web2,Brute Force
18.218.115.60,18.218.83.150- 172.31.69.28,Brute Force -XSS,23-02-2018,13:00,14:10,Brute Force -XSS2,Injection
18.218.115.60,18.218.83.150- 172.31.69.28,SQL Injection,23-02-2018,15:05,15:18,SQL Injection2,Injection
13.58.225.34,18.221.148.137-172.31.69.24,Infiltration,28-02-2018,10:50,12:05,Infiltration1,Infiltration
13.58.225.34,18.221.148.137-172.31.69.24,Infiltration,28-02-2018,13:42,14:40,Infiltration2,Infiltration
13.58.225.34,18.216.254.154-172.31.69.13,Infiltration,01-03-2018,9:57,10:55,Infiltration3,Infiltration
13.58.225.34,18.216.254.154-172.31.69.13,Infiltration,01-03-2018,14:00,15:37,Infiltration4,Infiltration
13.58.225.34,18.216.254.154-172.31.69.13,Infiltration,01-03-2018,14:00,15:37,Infiltration5,Infiltration
18.219.211.138,18.217.218.111-172.31.69.2318.222.10.237-172.31.69.1718.222.86.193-172.31.69.1418.222.62.221-172.31.69.1213.59.9.106-172.31.69.1018.222.102.2-172.31.69.818.219.212.0-172.31.69.618.216.105.13-172.31.69.2618.219.163.126-172.31.69.2918.216.164.12-172.31.69.30,Bot,02-03-2018,10:11,11:34,Bot1,Bot
18.219.211.138,18.217.218.111-172.31.69.2318.222.10.237-172.31.69.1718.222.86.193-172.31.69.1418.222.62.221-172.31.69.1213.59.9.106-172.31.69.1018.222.102.2-172.31.69.818.219.212.0-172.31.69.618.216.105.13-172.31.69.2618.219.163.126-172.31.69.2918.216.164.12-172.31.69.30,Bot,02-03-2018,14:24,15:55,Bot2,Bot
